City_ID,City,City_ID,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
0,Saint-Philippe,0,re,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2,Batie,2,bf,81.41,few clouds,9.8833,-2.9167,Auberge SONDAR AFACI
3,Port Macquarie,3,au,70.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
4,Puerto Ayora,4,ec,77.0,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Sao Filipe,6,cv,70.05,scattered clouds,14.8961,-24.4956,Tortuga B&B
7,Mataura,7,pf,62.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
8,Hithadhoo,8,mv,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
10,Makakilo City,10,us,82.4,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
12,Hobart,12,au,79.0,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
14,Catuday,14,ph,84.94,few clouds,16.2923,119.8062,GResort
17,Kasulu,17,tz,61.84,light rain,-4.5767,30.1025,Nazaret lodge
21,Cidreira,21,br,68.2,scattered clouds,-30.1811,-50.2056,Hotel Castelo
23,Rikitea,23,pf,78.53,light rain,-23.1203,-134.9692,Pension Maro'i
25,Luganville,25,vu,84.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
26,New Norfolk,26,au,79.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Port Elizabeth,27,za,64.4,clear sky,-33.918,25.5701,39 On Nile Guest House
28,Pisco,28,pe,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
29,Chuy,29,uy,63.27,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
30,Vaini,30,to,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Chishtian Mandi,31,pk,76.71,clear sky,29.8,72.8667,Boys Hostel
32,Nhulunbuy,32,au,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
34,Port Alfred,34,za,65.46,overcast clouds,-33.5906,26.891,The Halyards Hotel
35,San Luis,35,ar,61.32,clear sky,-33.295,-66.3356,Huarpes Hotel
36,Namibe,36,ao,74.14,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
37,Cayenne,37,gf,79.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
39,Marsh Harbour,39,bs,75.72,broken clouds,26.5412,-77.0636,Abaco Beach Resort
41,Cape Town,41,za,62.01,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
46,Busselton,46,au,76.84,overcast clouds,-33.65,115.3333,Observatory Guest House
47,Atuona,47,pf,80.8,broken clouds,-9.8,-139.0333,Villa Enata
48,Dingle,48,ie,85.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
50,San Quintin,50,mx,64.38,few clouds,30.4833,-115.95,Old Mill Hotel
55,Shintomi,55,jp,64.4,broken clouds,32.0785,131.4723,ホテルスイート
57,Luderitz,57,na,66.45,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
58,Bowen,58,au,82.4,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
59,Avarua,59,ck,84.2,few clouds,-21.2078,-159.775,Paradise Inn
60,Butaritari,60,ki,82.58,few clouds,3.0707,172.7902,Isles Sunset Lodge
63,San Carlos De Bariloche,63,ar,60.8,light rain,-41.1456,-71.3082,Hotel Patagonia
65,Hilo,65,us,75.2,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Moussoro,67,td,68.74,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
68,Xilitla,68,mx,70.54,overcast clouds,21.3333,-98.9667,Rio Tancuilin
75,Arraial Do Cabo,75,br,74.41,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
76,Tarata,76,pe,62.6,broken clouds,-17.6167,-66.0167,Alojamiento IV Centenario
77,Airai,77,pw,63.36,overcast clouds,-8.9266,125.4092,Juvinal Martin
78,Marihatag,78,ph,81.54,light rain,8.7936,126.2969,Mariner's Place & Resort
79,Live Oak,79,us,66.99,clear sky,36.9836,-121.9805,Best Western Plus All Suites Inn
80,Bhander,80,in,82.44,clear sky,25.7333,78.75,Rahul namdev LiC
