City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Bulawayo,-20.15,28.5833,55.44,68,62,4.9,broken clouds
1,Poum,-20.2333,164.0167,79.23,71,100,9.28,overcast clouds
2,Upernavik,72.7868,-56.1549,2.28,72,100,5.5,overcast clouds
3,Chuy,-33.6971,-53.4616,61.86,76,98,6.58,overcast clouds
4,Hithadhoo,-0.6,73.0833,83.79,76,100,19.95,overcast clouds
5,Kitsuki,33.4167,131.6167,57.2,67,75,11.5,broken clouds
6,Khatanga,71.9667,102.5,-27.22,95,36,0.51,scattered clouds
7,Sorland,67.667,12.6934,39.15,74,100,21.32,overcast clouds
8,Ribeira Grande,38.5167,-28.7,57.81,66,0,10.71,clear sky
9,Barrow,71.2906,-156.7887,-4.0,59,1,23.02,clear sky
10,Laguna,38.421,-121.4238,80.6,17,1,4.61,clear sky
11,Kota Bahru,6.1333,102.2386,84.2,84,20,3.44,few clouds
12,Ostrovnoy,68.0531,39.5131,31.3,93,100,8.19,overcast clouds
13,Arraial Do Cabo,-22.9661,-42.0278,74.48,77,45,16.75,scattered clouds
14,Thompson,55.7435,-97.8558,26.6,46,75,8.05,broken clouds
15,Busselton,-33.65,115.3333,69.01,82,100,1.99,overcast clouds
16,Port Elizabeth,-33.918,25.5701,64.4,77,0,10.36,clear sky
17,Pisco,-13.7,-76.2167,68.0,77,0,17.27,clear sky
18,Saint-Philippe,-21.3585,55.7679,78.8,78,0,9.22,light rain
19,Carutapera,-1.195,-46.02,75.76,93,100,3.71,overcast clouds
20,Hobart,-42.8794,147.3294,75.2,31,0,11.5,clear sky
21,Anadyr,64.75,177.4833,8.6,72,20,13.42,few clouds
22,Raga,8.4596,25.678,75.11,23,8,4.41,clear sky
23,Manga,11.6636,-1.0731,82.35,16,2,8.46,clear sky
24,Georgetown,5.4112,100.3354,84.2,83,20,3.44,few clouds
25,Tabuk,17.4189,121.4443,84.61,56,7,5.73,clear sky
26,East London,-33.0153,27.9116,66.18,79,25,8.86,scattered clouds
27,Hermanus,-34.4187,19.2345,57.99,94,100,5.95,light rain
28,Lasa,46.6166,10.7002,51.01,75,0,5.75,clear sky
29,Saldanha,-33.0117,17.9442,60.8,82,100,5.75,overcast clouds
30,Mataura,-46.1927,168.8643,64.0,64,100,1.99,overcast clouds
31,Turbat,26.0023,63.044,75.09,7,0,8.84,clear sky
32,Atuona,-9.8,-139.0333,80.74,77,37,11.52,light rain
33,Rikitea,-23.1203,-134.9692,78.87,72,100,14.29,light rain
34,Fortuna,40.5982,-124.1573,68.0,22,1,11.5,clear sky
35,Camacha,33.0833,-16.3333,60.8,77,20,16.11,few clouds
36,Yakeshi,49.2833,120.7333,40.78,48,100,2.26,overcast clouds
37,Caravelas,-17.7125,-39.2481,74.26,91,99,3.94,overcast clouds
38,Te Anau,-45.4167,167.7167,66.54,36,100,0.87,overcast clouds
39,Bengkulu,-3.8004,102.2655,79.05,75,100,13.18,moderate rain
40,Kavaratti,10.5669,72.642,83.48,70,35,13.31,scattered clouds
41,Mar Del Plata,-38.0023,-57.5575,66.0,88,0,10.25,clear sky
42,Okakarara,-20.5833,17.4333,62.49,82,100,3.98,overcast clouds
43,Fukue,32.6881,128.8419,66.2,55,0,13.8,clear sky
44,Punta Arenas,-53.15,-70.9167,46.4,81,0,4.61,clear sky
45,Qaanaaq,77.484,-69.3632,-9.49,76,92,9.91,overcast clouds
46,Vaini,-21.2,-175.2,86.0,74,75,10.36,broken clouds
47,Lebu,-37.6167,-73.65,57.02,93,35,12.3,scattered clouds
48,Lavrentiya,65.5833,-171.0,5.59,76,11,3.31,few clouds
49,Buin,-33.7333,-70.75,66.0,72,0,10.36,clear sky
50,Cape Town,-33.9258,18.4232,62.01,88,20,9.22,few clouds
51,Sironj,24.1,77.7,76.51,9,0,4.72,clear sky
52,Puerto Ayora,-0.7393,-90.3518,78.01,95,12,4.0,few clouds
53,Seoul,37.5683,126.9778,66.2,26,0,13.8,clear sky
54,Kayerkan,69.3497,87.7602,-18.15,93,12,2.84,few clouds
55,Beringovskiy,63.05,179.3167,12.36,79,95,4.7,overcast clouds
56,Maceio,-9.6658,-35.7353,77.0,94,0,4.61,clear sky
57,Bani,18.2833,-70.3333,75.99,76,1,4.0,clear sky
58,New Norfolk,-42.7826,147.0587,75.99,33,100,3.0,overcast clouds
59,Bethel,41.3712,-73.414,57.2,88,90,5.75,moderate rain
60,Albany,42.6001,-73.9662,48.0,70,100,11.01,moderate rain
61,Naze,28.3667,129.4833,73.4,83,75,12.66,broken clouds
62,Vagur,61.4732,-6.8119,41.99,67,12,16.98,few clouds
63,Hilo,19.7297,-155.09,78.8,65,1,8.05,clear sky
64,Hamilton,39.1834,-84.5333,44.6,39,1,11.5,clear sky
65,Portel,-1.9356,-50.8211,73.44,96,99,3.58,overcast clouds
66,Kitaotao,7.6397,125.0089,84.97,66,99,4.36,overcast clouds
67,Vestmannaeyjar,63.4427,-20.2734,42.71,79,83,18.19,broken clouds
68,Katiola,8.1333,-5.1,80.6,69,71,9.22,broken clouds
69,Tremedal,-14.9758,-41.4108,72.82,76,90,3.56,overcast clouds
70,Berlevag,70.8578,29.0864,33.1,95,100,12.77,light snow
71,Hualmay,-11.0964,-77.6139,68.97,88,19,7.63,few clouds
72,Kodiak,57.79,-152.4072,33.8,47,20,17.27,few clouds
73,Nishihara,26.1842,127.7558,78.8,83,40,6.91,scattered clouds
74,Baikunthpur,23.25,82.55,79.21,8,5,4.61,clear sky
75,Basoko,1.2391,23.616,70.97,92,100,4.88,light rain
76,Tasiilaq,65.6145,-37.6368,28.4,64,90,9.22,overcast clouds
77,Nikolskoye,59.7035,30.7861,35.01,93,0,4.47,clear sky
78,Guanhaes,-18.775,-42.9325,64.08,94,3,2.15,clear sky
79,Tacuba,13.9011,-89.9297,72.93,70,2,2.62,clear sky
80,Kediri,-7.8167,112.0167,83.3,72,94,3.2,overcast clouds
81,Lagoa,39.05,-27.9833,56.5,63,0,9.4,clear sky
82,Port Blair,11.6667,92.75,79.57,83,100,4.41,overcast clouds
83,Jamestown,42.097,-79.2353,42.01,65,40,10.36,scattered clouds
84,Kapaa,22.0752,-159.319,78.8,73,40,17.27,light rain
85,Almaznyy,48.0448,40.045,41.0,75,0,11.18,clear sky
86,Tuktoyaktuk,69.4541,-133.0374,-11.2,77,40,21.85,snow
87,Dikson,73.5069,80.5464,-10.84,78,100,3.11,overcast clouds
88,Bambous Virieux,-20.3428,57.7575,77.0,94,40,7.38,scattered clouds
89,Uvinza,-5.1036,30.3911,64.38,95,100,2.86,overcast clouds
90,Ahipara,-35.1667,173.1667,66.67,76,39,11.74,scattered clouds
91,Los Llanos De Aridane,28.6585,-17.9182,64.4,68,21,6.91,few clouds
92,Sao Joao Da Barra,-21.6403,-41.0511,72.81,89,100,7.0,overcast clouds
93,Port Alfred,-33.5906,26.891,65.41,84,80,13.78,broken clouds
94,Biak,-0.9131,122.8766,84.42,65,98,1.36,overcast clouds
95,Mahebourg,-20.4081,57.7,77.0,94,40,7.38,scattered clouds
96,Oxford,51.7522,-1.256,50.0,87,90,3.09,overcast clouds
97,Skibbereen,51.55,-9.2667,44.6,100,75,8.05,mist
98,Owando,-0.4819,15.8999,71.28,96,100,2.93,overcast clouds
99,Bluff,-46.6,168.3333,64.0,64,100,1.99,overcast clouds
100,Souillac,-20.5167,57.5167,77.0,94,40,6.82,light rain
101,Arenapolis,-14.4503,-56.8461,74.79,74,53,2.44,broken clouds
102,Castro,-24.7911,-50.0119,53.51,75,0,3.18,clear sky
103,Takoradi,4.8845,-1.7554,79.29,88,26,6.8,scattered clouds
104,Rodrigues Alves,-7.738,-72.6509,72.45,98,94,2.37,overcast clouds
105,Zhengjiatun,43.5064,123.5064,61.43,22,100,13.06,overcast clouds
106,Miri,4.4148,114.0089,82.4,83,40,4.61,scattered clouds
107,Troitsko-Pechorsk,62.7084,56.1964,31.26,95,98,7.52,overcast clouds
108,Haines Junction,60.7522,-137.5108,37.4,32,100,5.75,overcast clouds
109,Avarua,-21.2078,-159.775,82.4,69,75,12.66,broken clouds
